random_forest,xgboost,svm,mlp
12.421551867912191,11.819082868821221,15.003269083087353,11.761723432572229
12.47892923533279,12.737060976978798,14.400870480447878,12.163333126878017
12.53629199216912,12.79443568792953,15.433592033449719,12.679694899555134
12.192062321753799,12.450202696926874,14.659066641488177,11.733044710623933
12.966612950179083,12.679681617205798,16.035994620793996,12.105965057101953
12.134673000218793,12.019879082447044,15.519633512234345,11.446164514695601
12.306798461305926,12.105959744162217,16.15076595857187,12.077279693978987
12.278112434065493,12.192014505296179,14.286116409724148,11.905156889361725
11.876500083289837,12.593620214897165,15.577009551420009,13.253444665532326
13.081351746201074,14.027983339843209,15.146713165756323,12.651018834076709
12.306797133070992,12.564944149418737,15.031965736207257,12.56495211882834
12.077298289268063,12.450196055752206,14.974581727611987,11.704338759859493
12.077292312210858,12.478885403579973,15.261445320603649,11.905148255834654
12.47892525062799,12.593626856071836,15.978623894548063,12.134647763755051
12.019934204196801,12.737061641096265,15.49095213381618,11.847778857823657
12.823164218687845,13.253431383182988,16.007319883550505,12.335463236787415
12.019939517136537,12.278081220544546,15.404884090332878,10.92980074966608
12.306815728360066,12.134658389634522,14.974624231129873,12.220723112530488
12.192051695874328,12.249379254484907,14.286118402076548,11.675655389088925
11.905189431117606,12.737070274623335,14.515590681180798,12.70840018620211
12.048606949087896,12.851805085940526,13.224701524189738,12.220712486651017
11.991246848721435,12.39283329891588,14.056621550626017,11.130604932701507
12.364169851669322,13.396851557623147,15.462264778340813,13.023943829376996
12.622354722712686,12.59362818430677,15.978617253373395,12.507574751407741
12.737116098728555,12.708377606208234,14.515594001768132,11.790419421574665
12.220750341346632,12.507564125528269,15.43358339992265,12.192031108232852
12.0773075869126,13.081307250330791,16.064681976269362,12.220710494298617
12.421555188499525,12.10594845416528,14.7737868422211,12.048589682033754
12.679722792488747,13.196063313406926,15.634390239427944,12.220703853123947
11.675681289670138,12.27806328937294,15.577007559067608,12.335448626203142
12.249431719764797,12.679687594262997,15.777841627389048,12.364140630500778
12.421537921445386,12.99523920684749,14.515617245879474,12.048575735566947
12.794481512034748,12.966567126073866,14.687728760499802,12.478895365341977
12.364172508139191,12.851807742410395,15.777826352687306,12.794446313809
12.10599162180063,11.905138958190118,15.26145727471805,11.733029435922193
12.249414452710656,12.650998246435234,15.605716830419382,12.851807078292929
12.478931227685193,12.134647099637585,15.003293655433632,11.618291304017665
12.278120403475096,12.679687594262997,15.347537272315758,12.306769904254846
12.163364340398962,11.646957407734089,15.290159904895159,12.335461908552482
11.876503403877171,13.110005231685628,14.77379746810057,12.10596771357182
11.819119395281904,11.819071578824284,14.630363347193606,11.101914920756274
12.392863184201891,12.536255465708438,16.236795483242087,12.249395857421582
12.851844268871076,12.737054999921595,15.232767262772818,12.593630840776635
11.847806086639801,12.019889708326515,14.630344751904532,11.847782178410991
12.278111105830558,12.163317188058809,14.8598469162948,11.962520310315517
12.36417250813919,12.622315539782136,13.827128019762826,12.335461244435015
12.30680842306793,12.708384247382902,15.318851245075326,11.790415436869862
12.048618239084833,12.593634825481438,14.917234245477403,11.302725744966368
12.0486189032023,12.048567102039877,15.66306497667144,11.876464220946623
11.790441337451075,11.819078219998952,15.691751668029339,12.163339103935217
12.1346869466856,12.478891380637174,14.859874809228408,12.220715143120886
11.70438657631711,12.278072587017476,15.089348416567592,11.991224932845027
12.278113762300427,13.023933867614994,15.663082907843044,12.048582376741617
12.306811079537798,12.30676060661031,15.60572612806392,11.991217627552887
12.306792484248723,12.077252465162843,14.773806765745107,12.478894037107043
11.9338681530659,11.933819672490815,15.003269083087353,11.99121961990529
12.737108793436418,12.937871801188894,15.433562812281172,12.679700212494872
11.99123887931183,12.651004887609902,14.400885091032155,11.618285326960464
12.163372309808564,12.163327813938281,15.37621931485139,11.991225596962494
12.99528503095271,12.851803757705593,15.17541114711116,12.737074259328137
12.306803110128195,11.933830298370285,15.577022833769346,11.991212314613154
12.306802446010728,12.536257458060838,16.09337331644953,11.76172741727703
12.45022594103822,12.392820680684007,15.806508395222938,11.847779521941124
12.593681977821593,12.50757475140774,15.691758973321475,12.33546854972715
12.278120403475096,11.962520974432985,15.634386918840608,11.761730737864365
12.76579880538165,12.306774553077114,16.093397888795806,12.564962744707811
12.077311571617402,12.880497090238164,16.29418281242469,11.67565738144133
12.507617919043094,12.306759942492842,15.749142981916744,12.19202977999792
12.13468429021573,12.134644443167716,14.88853692824003,12.249397849773981
12.134685618450668,11.84777819370619,15.663072946081043,11.646968033613561
12.335489801486093,12.593641466656107,15.548321531827176,12.564954111180741
12.478913960631052,12.708374949738365,15.003281701319224,11.991212314613154
12.077301609855397,12.59362619195437,14.831194094927712,11.67565937379373
12.392862520084423,13.081318540327729,14.659056679726175,12.306771896607247
12.335497106778229,12.995249832726962,15.089348416567596,12.077281022213922
11.8191134182247,12.335443977380875,15.175415795933427,12.30677521719458
12.794495458501554,12.622324173309206,15.691758309204008,12.421522646743647
11.417498410979176,11.704342080446827,15.089349744802526,11.532226581121698
12.909219643939275,13.425549538977982,14.572983987420608,12.536270076292709
12.823164882805314,12.077252465162843,14.286131020308419,11.962527615607657
12.536294648638986,12.335453939142878,15.749148294856479,11.991224268727558
12.966602988417078,13.511620238931151,15.54831621888744,12.851823681229602
12.450235238682756,13.138685945986326,15.490953462051111,12.249406483301051
12.67973541072062,12.88049709023816,15.290145294310882,12.27808918995415
12.0486208955547,12.67969622779007,15.060641801685685,11.876468205651424
12.622361363887354,12.306767911902446,15.806515700515076,12.53626343511804
11.962561485598469,12.105944469460479,15.54831621888744,11.61827934990326
12.105990293565696,11.503512660947656,15.835179811879096,11.675650740266658
11.905171499945997,12.249380582719843,16.007329181195036,12.134653076694786
12.048620231437233,11.962518317963118,14.429535920046835,11.675668671438267
11.8764907856453,11.933832290722684,16.093397224678338,12.278087861719214
12.10599162180063,12.651006215844836,14.429525294167364,11.64697069008343
