random_forest,xgboost,svm,mlp
12.42154124203272,12.364152584615182,13.97071754415705,11.761726089042096
12.593658733710248,12.679706853669542,14.51577464171914,12.536271404527643
12.30677986601685,12.392831970680946,14.286270484976477,12.765756965981234
12.134671007866393,12.105977675333824,14.343648516514545,11.646984636550235
12.392851894204952,12.564963408825278,14.343649180632012,11.360101784152036
12.134665694926657,12.421531944388184,14.745262195525132,12.105962400632086
12.794469557920346,12.708394873262373,14.773954199822768,12.564964072942747
12.24941777329799,11.933854870716562,14.286281110855947,12.192037749407524
12.163354378636958,11.90516419465386,14.17152571189728,12.507593346696815
12.880531624346442,12.82315226457344,14.7165741759323,12.995267763898568
12.364155905202516,11.589599299720032,14.372337200224845,12.335463900904882
11.90516220230146,12.278089189954148,14.343645860044676,11.733036077096862
12.077282350448854,11.962532264429923,14.343651172984412,12.077279029861522
12.134659717869456,11.991221612257691,14.601827410500704,12.048593002621088
12.134668351396526,11.991217627552889,14.68789611810147,11.876472854473693
12.851840948283742,13.02395644760887,14.60182807461817,12.450216643393683
11.790426062749333,11.962542890309395,14.286275133798744,11.331425718673607
12.019931547726932,12.163357699224292,14.831323597833766,12.07729629691566
12.851842940636143,12.306773888959647,14.63051941479834,11.646971354200897
12.278115090535362,12.65103543701338,14.314959168686777,12.364157897554918
12.04860562085296,11.905158881714126,14.228902415200412,12.019905647145722
11.761736714921566,11.819100135875361,14.8313289107735,11.532229901709034
12.593657405475314,13.081325181502399,14.314957176334376,12.937896373535171
12.76577755362271,12.823138318106636,14.458397274298541,12.593648771948244
11.790436688628805,11.876488129175433,14.286269156741543,11.962545546779262
12.507602644341352,12.421537257327918,14.286272477328877,12.392849901852552
12.30678916366139,12.105981660038626,14.314963153391579,12.07729031985846
12.622354058595217,12.880524983171773,14.458393953711205,12.278093174658952
12.794471550272744,13.1387045412754,14.314959168686777,12.22072244841302
11.905167515241194,12.364151920497715,13.94202753221182,11.962528279725122
12.708413468551448,12.392851230087485,14.458393289593742,12.192035092937655
12.249405155066118,12.134640458462913,14.45839793841601,12.335447962085675
12.364169187551857,12.450220628098483,14.573144039730137,12.421535264975518
12.07729895338553,12.192037085290055,14.687892797514134,11.991223604610092
12.278107785243225,12.39284392479535,14.630518086563406,11.44616916351787
12.450209338101546,12.392829978328544,14.142842341126714,12.478886731814907
11.618305914601939,12.048606284970427,14.659201457333968,11.790420085692132
12.364164538729586,12.622344096833215,14.429709918823175,12.192035092937655
11.70437196573284,12.30678650719152,14.745264187877533,12.077285006918723
12.392848573617618,12.62233811977601,14.630513437741133,12.421527295565916
11.790423406279466,11.646976003023164,14.257587778323378,11.187977651299839
12.077296961033127,12.335476519136753,14.314963817509046,12.22072311253049
12.478902670634115,12.85182833005187,14.8026402270632,12.536264763352975
11.58961457442177,11.618285326960464,14.458405243708146,11.819101464110295
12.048596987325888,11.991213642848088,14.257587778323378,11.819091502348291
12.450222620450884,12.249409139770918,14.429713239410512,12.507583384934811
12.909232262171148,12.507604636693754,14.314955183981976,11.6756719920256
11.876487465057965,11.933858191303896,14.372331887285107,12.105979667686226
11.790419421574665,11.5035418821162,14.257585785970978,11.675665350850931
11.962550195601532,11.819106112932563,14.429711247058108,11.733043382388999
12.679726113076082,12.564971378234882,14.171520398957544,12.24940714741852
12.851849581810812,12.593654749005445,14.745262195525132,11.675666679085866
12.019916273025192,12.134649091989985,13.91334084085392,11.733028771804726
12.82315890574811,12.564964737060212,14.48708462977391,12.564956103533142
12.105982324156093,12.27809583112882,14.48708595800884,12.478899350046781
12.335481167959022,12.306787171308986,14.20021439560758,12.249409803888389
12.536289335699252,12.737084221090141,14.200217052077447,12.823147615751173
12.134660381986922,12.392840604208015,13.913341504971388,11.99122426872756
11.933864168361099,12.478909975926252,14.745264187877533,12.048602964383093
12.364162546377186,12.192028451762985,14.630522735385673,11.933847565424426
11.905174156415864,11.991222276375158,14.487079980951638,12.364149264027848
12.794469557920344,12.765774233035375,14.487081309186573,12.564964737060214
11.933860183656297,12.01991228832039,14.314961161039175,12.048598315560822
12.76578817950218,12.765780210092577,14.773954199822768,12.163353050402025
12.679728105428483,12.507599987871483,14.6878894769268,12.192039077642457
12.851852902398146,12.966593690772541,14.573150680904805,12.364163210494652
12.220733074292493,12.134668351396526,14.601828738735634,12.077284342801256
12.56498067587942,12.679719471901413,14.372337200224845,12.59365607724038
12.24942839917746,12.450219299863548,14.343655157689213,12.564966065295145
12.220729753705157,12.048598315560824,14.314962489274112,12.163345080992421
12.56498067587942,12.392850565970019,14.630517422445935,12.335469877962083
12.077291648093393,11.64697268243583,15.118196488469957,11.733034748861929
12.36417317225666,12.335475190901821,13.769904063477089,11.589610589716969
12.105978339451292,12.27809118230655,14.6305141018586,12.79446158851074
12.536287343346851,13.052647787789038,14.372336536107378,12.24940449094865
11.847798117230198,11.67566335849853,14.515775305836607,11.991221612257691
12.24942042976786,12.364159889907318,14.487081309186573,12.278089854071615
11.847798781347667,11.905166187006262,14.573146032082537,11.99122626107996
13.16740385086517,12.765777553622708,14.429705934118376,12.30678385072165
12.220728425470224,12.392842596560417,14.458393289593737,12.392839275973081
11.962548867366598,12.134663038456791,14.515771321131806,12.192035757055121
12.593661390180115,12.794458267923407,14.343646524162144,12.679702204847272
12.507602644341352,12.823150936338507,14.601829402853104,12.27809782348122
13.081335143264402,12.536274725114978,14.91738832072973,12.335464565022349
11.761736050804101,11.962535585017259,14.343649180632012,11.991225596962492
