number,value,datetime_start,datetime_complete,duration,params_eta,params_gamma,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
20,0.5,2024-01-28 19:40:21.799427,2024-01-28 19:40:47.616806,0 days 00:00:25.817379,0.797769829757343,98.41369960926313,24,2250,95.62086382605713,13.873252225364984,0.17955801375823366,COMPLETE
21,0.5,2024-01-28 19:40:23.982563,2024-01-28 19:40:40.842226,0 days 00:00:16.859663,0.4403822280640384,66.2605713568152,18,150,16.5458590488214,45.91984668792961,0.8955248229444686,COMPLETE
22,0.6413893977644936,2024-01-28 19:40:24.463116,2024-01-28 19:40:47.326767,0 days 00:00:22.863651,0.2670581440422265,10.30158250818033,24,1750,31.866921692009775,37.90988483142104,0.6272608167971464,COMPLETE
23,0.5,2024-01-28 19:40:25.073287,2024-01-28 19:41:03.225737,0 days 00:00:38.152450,0.3621959153723533,87.56684134836166,4,4650,15.109932910233947,60.53634553491517,0.44054240546909873,COMPLETE
24,0.5,2024-01-28 19:40:25.407859,2024-01-28 19:40:48.147357,0 days 00:00:22.739498,0.7647606954179449,17.695156908105247,22,150,86.68713907777055,98.89883798951485,0.35358550143490686,COMPLETE
25,0.6667818104327486,2024-01-28 19:40:27.522992,2024-01-28 19:41:00.633667,0 days 00:00:33.110675,0.6376259568842622,0.7940088729504993,24,3250,30.538837408799303,66.26156225883321,0.6890611818034528,COMPLETE
26,0.5,2024-01-28 19:40:27.940645,2024-01-28 19:41:03.069221,0 days 00:00:35.128576,0.6590488712326181,4.306556960719888,4,4500,23.692008128536457,28.325742853093,0.0038933810070684027,COMPLETE
27,0.613336040890425,2024-01-28 19:40:29.204799,2024-01-28 19:41:17.711002,0 days 00:00:48.506203,0.6334783296583164,1.3857095723711197,4,4950,22.718297536176845,28.567828138755456,0.07934561302703924,COMPLETE
28,0.5,2024-01-28 19:40:29.728800,2024-01-28 19:41:16.187418,0 days 00:00:46.458618,0.9992160253132982,2.3590206174575115,12,4950,21.188539757186064,26.667877473267765,0.00018817046286523365,COMPLETE
29,0.5,2024-01-28 19:40:29.958800,2024-01-28 19:41:20.903262,0 days 00:00:50.944462,0.993400115856065,3.7132920589881375,11,5000,22.132699220152897,27.685711175584018,0.06270249604611342,COMPLETE
30,0.5,2024-01-28 19:40:30.141801,2024-01-28 19:41:32.217936,0 days 00:01:02.076135,0.9887497634128161,0.06068865317109351,5,4950,22.054818808399652,23.65035514986517,0.018318944942440796,COMPLETE
31,0.6367896920677797,2024-01-28 19:40:30.658903,2024-01-28 19:41:34.961529,0 days 00:01:04.302626,0.018117580632048824,8.84789731536724,6,5000,19.603767624713,26.43885528962999,0.29706086684430205,COMPLETE
32,0.6485411333931334,2024-01-28 19:40:31.707579,2024-01-28 19:41:39.020527,0 days 00:01:07.312948,0.9783442183648623,1.5335003720435318,5,4950,20.468820446038645,58.54839927376769,0.3101571005068431,COMPLETE
33,0.6468324120823093,2024-01-28 19:40:39.223670,2024-01-28 19:41:49.747627,0 days 00:01:10.523957,0.995908816731681,3.0518596324203955,6,5000,21.540137005184757,24.26757092367283,0.31762966000455806,COMPLETE
34,0.6298450268983753,2024-01-28 19:40:40.981225,2024-01-28 19:41:54.041219,0 days 00:01:13.059994,0.9933106708660145,0.4305011323744883,4,4850,18.699541382276166,28.805366112635777,0.30294927658091386,COMPLETE
35,0.6531863220229821,2024-01-28 19:40:43.149903,2024-01-28 19:41:55.124220,0 days 00:01:11.974317,0.9756791776416405,1.9800704825932935,5,4850,25.67016871569261,27.824249511345613,0.33021077690135314,COMPLETE
