number,value,datetime_start,datetime_complete,duration,params_eta,params_gamma,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
80,0.6721086032492369,2024-01-28 22:12:49.792833,2024-01-28 22:13:31.401518,0 days 00:00:41.608685,0.07661074632882872,5.43841234527893,11,3300,6.765998053622937,7.816622947295057,0.9337653807800098,COMPLETE
81,0.6717300287842696,2024-01-28 22:12:53.382318,2024-01-28 22:13:32.327301,0 days 00:00:38.944983,0.07526942053575392,6.1333642071089844,8,3300,6.593053468490143,7.896558101342684,0.9372662904762383,COMPLETE
82,0.6704277110484046,2024-01-28 22:12:55.163942,2024-01-28 22:13:34.180336,0 days 00:00:39.016394,0.07494001270912176,6.545993178094885,11,3550,6.604092561171423,7.617813656953578,0.950650004187956,COMPLETE
83,0.6702363512878412,2024-01-28 22:12:55.828975,2024-01-28 22:13:37.369528,0 days 00:00:41.540553,0.08160785845122298,6.491689181723631,11,3400,7.06061323506456,5.9922880286668185,0.9358205595259351,COMPLETE
84,0.6709285496239673,2024-01-28 22:13:01.332192,2024-01-28 22:13:36.306494,0 days 00:00:34.974302,0.07710238030168756,6.374967528178168,8,1750,6.1586369397797895,6.636026780758753,0.943015133159013,COMPLETE
85,0.6756784120160899,2024-01-28 22:13:02.148742,2024-01-28 22:13:38.712044,0 days 00:00:36.563302,0.07022843606460165,6.530167761128343,8,1750,6.369663396728399,6.265142822781611,0.7790449887478735,COMPLETE
86,0.6757950950960405,2024-01-28 22:13:03.080450,2024-01-28 22:13:42.243359,0 days 00:00:39.162909,0.06976302883709734,6.211090912819448,11,2750,7.588407599233992,5.653246500651154,0.7771634929704191,COMPLETE
87,0.6761695253788632,2024-01-28 22:13:09.722697,2024-01-28 22:13:44.221468,0 days 00:00:34.498771,0.07305432947996938,5.819093851187938,11,3200,6.06311502635264,6.179150194761286,0.7209228178924587,COMPLETE
88,0.6697316743957249,2024-01-28 22:13:10.131697,2024-01-28 22:13:45.287102,0 days 00:00:35.155405,0.08354532465784498,6.446140491731869,11,2900,6.28378450481666,74.91478682088116,0.7763592113553219,COMPLETE
89,0.6711940601772318,2024-01-28 22:13:10.687298,2024-01-28 22:13:50.048762,0 days 00:00:39.361464,0.07911591412211662,5.427978358744637,11,2750,7.317494773145637,72.94462730772447,0.790374477346218,COMPLETE
90,0.6695406463810785,2024-01-28 22:13:16.798646,2024-01-28 22:13:50.642801,0 days 00:00:33.844155,0.062088516859838676,5.951837519822609,12,2900,8.17688933754182,74.79989230596328,0.7760938869438797,COMPLETE
91,0.6764465786841565,2024-01-28 22:13:17.553283,2024-01-28 22:13:51.535321,0 days 00:00:33.982038,0.049254297106365356,6.561466205594037,12,2900,6.682577266479507,0.32916029495959,0.7353490040644074,COMPLETE
92,0.6702727930729819,2024-01-28 22:13:18.640412,2024-01-28 22:13:51.886838,0 days 00:00:33.246426,0.2132612902135113,4.781272016532919,12,1800,6.686078267178477,52.55759293190623,0.7783352308338156,COMPLETE
93,0.6701851237844454,2024-01-28 22:13:24.455598,2024-01-28 22:13:57.214979,0 days 00:00:32.759381,0.2039369435020546,5.195585280760321,12,3200,7.508191421846622,52.44365093358555,0.7343823379474058,COMPLETE
94,0.6605796893367408,2024-01-28 22:13:25.039645,2024-01-28 22:14:00.860324,0 days 00:00:35.820679,0.049750551430157566,16.769204476578267,12,4600,6.855003167421117,12.410718714322224,0.752980279459682,COMPLETE
95,0.6741357429435654,2024-01-28 22:13:25.974692,2024-01-28 22:13:59.274490,0 days 00:00:33.299798,0.10171427174574012,4.891503781038487,12,3250,6.458009328432603,74.06619462425938,0.7345690175186571,COMPLETE
96,0.6604805550953465,2024-01-28 22:13:31.548561,2024-01-28 22:14:05.217634,0 days 00:00:33.669073,0.04564414704977146,15.376705556915272,12,3250,7.123432142042908,12.049898906680525,0.7795975260501027,COMPLETE
97,0.6626277017039617,2024-01-28 22:13:32.464301,2024-01-28 22:14:05.944234,0 days 00:00:33.479933,0.197764049096653,16.109140912910892,8,3200,5.029511113874356,12.425766554075027,0.740277869125711,COMPLETE
98,0.6619159309025189,2024-01-28 22:13:34.331397,2024-01-28 22:14:07.013879,0 days 00:00:32.682482,0.0957242178906476,16.388697339275694,8,3250,5.496900992294173,13.730099598692142,0.705607824318893,COMPLETE
99,0.6723642347077605,2024-01-28 22:13:36.437494,2024-01-28 22:14:07.602588,0 days 00:00:31.165094,0.19228584807453128,4.242876287079816,8,1700,5.421061373318253,13.16931350340668,0.7468191524435214,COMPLETE
